Unnamed: 0,SARSA,SARSA Lambda,Q-learning,R-Learning
431,-747.01,-738.34,-727.53,-738.42
432,-747.19,-739.54,-727.71,-737.25
433,-747.73,-740.53,-728.43,-737.34
434,-746.65,-735.61,-728.35,-736.62
435,-747.73,-733.99,-727.63,-736.8
436,-746.29,-734.8,-727.0,-736.62
437,-748.27,-733.63,-726.28,-737.16
438,-748.54,-733.09,-729.03,-733.59
439,-749.08,-733.27,-729.84,-733.95
440,-748.72,-734.44,-728.4,-734.85
441,-747.46,-733.72,-727.71,-733.86
442,-747.1,-731.0,-730.7,-734.85
443,-746.2,-730.91,-728.72,-734.76
444,-747.28,-730.73,-729.17,-735.12
445,-747.37,-729.83,-728.45,-735.93
446,-745.39,-724.12,-728.72,-735.03
447,-745.75,-725.38,-728.99,-734.22
448,-744.4,-725.02,-727.91,-731.88
449,-744.4,-723.76,-728.81,-727.24
450,-745.66,-723.58,-730.43,-726.43
451,-744.94,-723.76,-729.53,-727.33
452,-744.13,-723.76,-730.16,-726.52
453,-744.76,-721.73,-729.89,-724.81
454,-746.11,-723.17,-730.65,-723.73
455,-745.66,-721.73,-729.84,-724.18
456,-745.66,-720.56,-728.13,-724.54
457,-741.14,-719.75,-726.78,-723.55
458,-741.14,-726.18,-725.52,-722.01
459,-741.68,-726.36,-725.52,-721.74
460,-741.32,-725.55,-725.52,-720.48
461,-742.29,-726.72,-732.24,-719.49
462,-742.2,-726.45,-732.24,-719.13
463,-740.61,-725.64,-731.61,-717.51
464,-742.48,-723.12,-727.66,-717.69
465,-741.04,-723.66,-728.02,-718.41
466,-740.95,-724.56,-722.41,-718.59
467,-741.76,-724.56,-721.87,-718.32
468,-742.66,-725.01,-721.87,-716.52
469,-744.01,-723.75,-722.52,-716.16
470,-744.28,-723.3,-721.8,-715.53
471,-742.84,-723.87,-722.07,-715.08
472,-743.3,-723.42,-721.08,-717.51
473,-743.48,-723.06,-719.91,-718.32
474,-742.76,-721.26,-719.46,-718.68
475,-744.83,-720.81,-718.56,-717.51
476,-745.82,-721.71,-718.38,-717.93
477,-745.37,-721.08,-718.02,-718.49
478,-744.29,-720.72,-718.65,-718.04
479,-744.2,-721.08,-717.75,-717.59
480,-745.19,-720.99,-718.2,-718.22
481,-745.37,-718.83,-718.47,-718.76
482,-743.21,-718.38,-718.65,-717.59
483,-743.12,-718.2,-718.11,-716.69
484,-743.3,-717.84,-717.75,-716.78
485,-744.47,-715.86,-719.01,-714.02
486,-743.66,-713.34,-718.29,-713.79
487,-743.48,-713.61,-717.84,-713.25
488,-743.17,-713.25,-718.29,-712.89
489,-743.44,-713.25,-720.09,-712.62
490,-742.63,-713.7,-719.64,-713.16
491,-742.0,-713.07,-718.74,-712.71
492,-741.45,-713.7,-717.75,-712.8
493,-739.65,-714.06,-717.93,-713.25
494,-739.74,-714.51,-718.56,-714.6
495,-740.82,-710.91,-720.36,-715.32
496,-740.82,-709.47,-719.46,-713.61
497,-740.82,-710.01,-719.37,-713.7
498,-740.1,-708.02,-718.38,-713.97
499,-739.25,-707.12,-718.56,-713.43
500,-739.61,-707.03,-718.56,-713.43
501,-738.44,-707.03,-718.56,-712.44
502,-737.72,-708.18,-717.57,-713.7
503,-738.17,-707.55,-718.11,-715.49
504,-738.26,-707.91,-719.52,-714.68
505,-737.45,-706.56,-717.74,-713.42
506,-736.55,-706.83,-717.2,-714.32
507,-735.56,-706.74,-717.38,-715.49
508,-733.8,-707.28,-717.92,-717.02
509,-732.99,-706.83,-717.83,-716.39
510,-733.35,-707.01,-717.65,-716.84
511,-733.17,-706.02,-718.73,-716.48
512,-732.72,-706.56,-718.73,-714.95
513,-733.62,-705.75,-719.81,-714.95
514,-732.27,-705.39,-720.44,-714.32
515,-733.17,-705.03,-720.8,-715.4
516,-732.36,-703.77,-719.72,-712.6
517,-732.99,-704.1,-720.17,-712.96
518,-732.9,-704.73,-720.08,-712.24
519,-731.19,-705.0,-720.8,-713.05
520,-730.65,-703.38,-724.31,-714.31
521,-730.83,-703.29,-723.86,-713.95
522,-729.48,-702.66,-722.96,-713.41
523,-728.31,-702.93,-723.77,-713.5
524,-726.51,-703.74,-724.13,-713.77
525,-726.96,-701.85,-724.76,-713.5
526,-726.15,-701.13,-725.48,-713.5
527,-727.45,-701.49,-725.75,-713.86
528,-726.82,-700.95,-727.39,-713.05
529,-726.1,-698.1,-727.48,-712.51
530,-726.19,-698.55,-727.21,-713.15
531,-727.09,-698.82,-726.4,-714.59
532,-726.1,-698.64,-726.22,-713.87
533,-726.1,-697.83,-725.41,-715.58
534,-725.38,-701.49,-727.36,-716.48
535,-724.75,-701.58,-727.36,-716.39
536,-724.84,-700.41,-727.63,-715.31
537,-724.39,-700.41,-729.43,-715.76
538,-723.94,-701.4,-725.24,-718.97
539,-723.31,-701.4,-723.17,-718.34
540,-722.77,-700.68,-724.34,-717.17
541,-718.56,-701.13,-724.4,-716.99
542,-718.47,-705.2,-723.05,-716.0
543,-719.1,-705.11,-723.5,-715.73
544,-716.85,-705.65,-722.6,-716.27
545,-715.23,-706.73,-722.69,-715.28
546,-716.31,-711.27,-722.78,-715.37
547,-714.96,-710.64,-721.25,-716.27
548,-716.31,-711.36,-721.25,-716.36
549,-717.21,-709.48,-720.62,-721.18
550,-714.96,-709.39,-719.0,-720.91
551,-714.69,-709.98,-720.08,-719.83
552,-715.86,-709.98,-719.72,-719.65
553,-714.42,-711.2,-719.9,-719.29
554,-712.8,-709.31,-721.16,-719.56
555,-713.97,-709.49,-721.79,-719.38
556,-712.44,-709.04,-722.96,-719.11
557,-716.33,-709.85,-724.31,-720.28
558,-716.69,-708.95,-724.22,-722.9
559,-716.33,-708.41,-723.86,-724.34
560,-716.6,-708.32,-722.6,-724.61
561,-716.78,-707.87,-723.5,-724.97
562,-716.42,-707.24,-719.03,-724.07
563,-719.0,-708.14,-718.31,-720.12
564,-720.26,-711.11,-723.07,-720.48
565,-721.79,-712.28,-723.79,-719.4
566,-720.71,-711.29,-727.51,-712.76
567,-719.54,-710.48,-729.22,-712.13
568,-720.35,-710.39,-729.4,-712.31
569,-719.9,-710.93,-727.87,-712.13
570,-719.27,-709.37,-727.42,-712.49
571,-720.26,-710.18,-726.79,-712.22
572,-721.43,-705.74,-729.22,-712.67
573,-720.26,-705.92,-730.48,-712.13
574,-721.16,-706.01,-731.47,-712.4
575,-720.35,-705.65,-733.09,-712.67
